sample_name	batch	birth_timestamp	cage_group	cage_id	cage_line	collection_date	collection_device	collection_method	collection_timestamp	country	description	dna_extracted	elevation	empo_1	empo_2	empo_3	empo_4	env_biome	env_feature	env_material	env_package	facility	father_subject_id	gave_birth	generation	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_genotype	host_scientific_name	host_subject_id	host_subject_id_bmfz	host_taxid	host_weight	host_weight_units	iacuc_institute	iacuc_protocol_id	latitude	life_stage	longitude	mate_sire	mothers_subject_ids	parental_cage	physical_specimen_location	physical_specimen_remaining	qiita_sample_type	qiita_study_id	sample_type	scientific_name	serum_triglyceride	serum_triglyceride_unit	sex	taxon_id	title	tube_id	tube_id_plate_bmfz
13422.1	1	2018-04-10	rm	rm1		2019-01-03	eppi	necropsy	2019-01-03	Germany	recipient mother	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	spf		True	RM	Germany:Duesseldorf	38	weeks	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:colon	mouse	b6cf1	Mus musculus	1	1	10090	not collected	grams	LANUV	G383/17	51.189401	adult	6.792239	False		room01.32	dna in freezer03.140	TRUE	colon content	13422	colon content	mouse gut metagenome	1.529	nmol/well	female	410661	Influence of the genetic background on murine gut microbiome composition and diversity over five generations	1-a9	1-a9
13422.10	1	2018-11-30	pb	p1-11	BALB/c_line5	2019-03-20	eppi	necropsy	2019-03-20	Germany	motherp1	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	spf		True	P	Germany:Duesseldorf	15	weeks	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:colon	mouse	balb/c	Mus musculus	176386/6	10	10090	34.3	grams	LANUV	G383/17	51.189401	adult	6.792239	False		rm3	dna in freezer03.140	TRUE	colon content	13422	colon content	mouse gut metagenome	4.721	nmol/well	female	410661	Influence of the genetic background on murine gut microbiome composition and diversity over five generations	3-d1	3-d1
13422.100	1	2019-05-03	cf2-3	f2-12	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	motherf2	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	spf	183014/6	True	F2	Germany:Duesseldorf	15	weeks	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:colon	mouse	c57bl6/j	Mus musculus	189921/1	100	10090	24.9	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	colon content	13422	colon content	mouse gut metagenome	1.35	nmol/well	female	410661	Influence of the genetic background on murine gut microbiome composition and diversity over five generations	2-c12	
13422.100skin	3	2019-05-03	cf2-3	f2-12	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	motherf2	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	urban biome	animal-associated habitat	sebum material	host-associated	spf	183014/6	True	F2	Germany:Duesseldorf	15	weeks	UBERON:skin	UBERON:skin of external ear	UBERON:sebum	mouse	c57bl6/j	Mus musculus	189921/1	100	10090	24.9	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	skin	13422	skin of external ear	mouse skin metagenome	1.35	nmol/well	female	540485	Skin screening	7-c12	7-c12
13422.101	1	2019-05-03	cf2-3	f2-12	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	motherf2	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	spf	183014/6	True	F2	Germany:Duesseldorf	15	weeks	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:colon	mouse	c57bl6/j	Mus musculus	189921/2	101	10090	24.7	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	colon content	13422	colon content	mouse gut metagenome	2.03	nmol/well	female	410661	Influence of the genetic background on murine gut microbiome composition and diversity over five generations	1-a8	
13422.101skin	3	2019-05-03	cf2-3	f2-12	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	motherf2	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	urban biome	animal-associated habitat	sebum material	host-associated	spf	183014/6	True	F2	Germany:Duesseldorf	15	weeks	UBERON:skin	UBERON:skin of external ear	UBERON:sebum	mouse	c57bl6/j	Mus musculus	189921/2	101	10090	24.7	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	skin	13422	skin of external ear	mouse skin metagenome	2.03	nmol/well	female	540485	Skin screening	6-a8	6-a8
13422.102	1	2019-05-03	cf2-3	f2-13	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	not provided	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	spf	183014/6	False	F2	Germany:Duesseldorf	15	weeks	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:colon	mouse	c57bl6/j	Mus musculus	189921/3	102	10090	23.2	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	colon content	13422	colon content	mouse gut metagenome	1.6	nmol/well	female	410661	Influence of the genetic background on murine gut microbiome composition and diversity over five generations	3-d3	
13422.102skin	3	2019-05-03	cf2-3	f2-13	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	not provided	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	urban biome	animal-associated habitat	sebum material	host-associated	spf	183014/6	False	F2	Germany:Duesseldorf	15	weeks	UBERON:skin	UBERON:skin of external ear	UBERON:sebum	mouse	c57bl6/j	Mus musculus	189921/3	102	10090	23.2	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	skin	13422	skin of external ear	mouse skin metagenome	1.6	nmol/well	female	540485	Skin screening	8-d3	8-d3
13422.103	1	2019-05-03	cf2-3	f2-13	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	not provided	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	spf	183014/6	False	F2	Germany:Duesseldorf	15	weeks	UBERON:gastrointestinal system	UBERON:lumen of gut	UBERON:colon	mouse	c57bl6/j	Mus musculus	189921/4	103	10090	23.1	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	colon content	13422	colon content	mouse gut metagenome	1.34	nmol/well	female	410661	Influence of the genetic background on murine gut microbiome composition and diversity over five generations	1-h4	
13422.103skin	3	2019-05-03	cf2-3	f2-13	C57BL6/J_line3	2019-08-16	eppi	necropsy	2019-08-16	Germany	not provided	TRUE	42	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal surface (non-saline)	urban biome	animal-associated habitat	sebum material	host-associated	spf	183014/6	False	F2	Germany:Duesseldorf	15	weeks	UBERON:skin	UBERON:skin of external ear	UBERON:sebum	mouse	c57bl6/j	Mus musculus	189921/4	103	10090	23.1	grams	LANUV	G383/17	51.189401	adult	6.792239	False	183014/1|183014/2	f1-11	dna in freezer03.140	TRUE	skin	13422	skin of external ear	mouse skin metagenome	1.34	nmol/well	female	540485	Skin screening	6-h4	6-h4
