Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,Sample_name,sex,SRA Study,Submitter_Id,create_date,version
ERR2784311,OTHER,301,22411860,PRJEB28381,SAMEA4861072,14642308,UNIVERSITY OF TORONTO,house mouse,public,"run.zq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796388,SAMEA4861072,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861072,J.T.1.C5,male,ERP110576,J.T.1.C5,2019-04-04T15:33:00Z,1
ERR2784312,OTHER,301,24613418,PRJEB28381,SAMEA4861073,15875115,UNIVERSITY OF TORONTO,house mouse,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796389,SAMEA4861073,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861073,J.T.1.C6,male,ERP110576,J.T.1.C6,2019-04-04T15:33:00Z,1
ERR2784313,OTHER,301,18337789,PRJEB28381,SAMEA4861074,11972104,UNIVERSITY OF TORONTO,house mouse,public,run.zq,"s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796390,SAMEA4861074,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861074,J.T.1.C7,male,ERP110576,J.T.1.C7,,
ERR2784314,OTHER,301,21493665,PRJEB28381,SAMEA4861075,14079917,UNIVERSITY OF TORONTO,house mouse,public,"sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796391,SAMEA4861075,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861075,J.T.1.I1,female,ERP110576,J.T.1.I1,2019-04-04T15:33:00Z,1
ERR2784315,OTHER,301,18814935,PRJEB28381,SAMEA4861076,12031372,UNIVERSITY OF TORONTO,house mouse,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796392,SAMEA4861076,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861076,J.T.1.I2,female,ERP110576,J.T.1.I2,2019-04-04T15:34:00Z,1
ERR2784316,OTHER,301,21305043,PRJEB28381,SAMEA4861077,13732265,UNIVERSITY OF TORONTO,house mouse,public,"run.zq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796393,SAMEA4861077,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861077,J.T.1.I3,female,ERP110576,J.T.1.I3,2019-04-04T15:34:00Z,1
ERR2784317,OTHER,301,18716850,PRJEB28381,SAMEA4861078,12263377,UNIVERSITY OF TORONTO,house mouse,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796394,SAMEA4861078,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861078,J.T.1.I4,male,ERP110576,J.T.1.I4,2019-04-04T15:34:00Z,1
ERR2784318,OTHER,301,19879992,PRJEB28381,SAMEA4861079,12991241,UNIVERSITY OF TORONTO,house mouse,public,"sra,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796395,SAMEA4861079,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:06Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861079,J.T.1.I5,male,ERP110576,J.T.1.I5,2019-04-04T15:34:00Z,1
ERR2784319,OTHER,301,32163104,PRJEB28381,SAMEA4861172,21062036,UNIVERSITY OF TORONTO,house mouse,public,"run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796396,SAMEA4861172,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:08Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861172,T.J.1.P1,female,ERP110576,T.J.1.P1,2019-04-04T15:34:00Z,1
ERR2784320,OTHER,301,18531999,PRJEB28381,SAMEA4861173,12162012,UNIVERSITY OF TORONTO,house mouse,public,"sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",2019-04-01,2019-04-01T00:00:00Z,2018-11-16,2018-08-27,ERX2796397,SAMEA4861173,UNIVERSITY OF TORONTO,UNIVERSITY OF TORONTO,2019-04-01T17:02:45Z,2018-08-27T18:34:08Z,public,Illumina MiSeq,unspecified,PAIRED,PCR,METAGENOMIC,Mus musculus,ILLUMINA,2019-04-02T00:00:00Z,SAMEA4861173,T.J.1.P2,male,ERP110576,T.J.1.P2,2019-04-04T15:34:00Z,1
